Model,Train Accuracy,Test Accuracy
XGBoost,1.0,1.0
Logistic Regression,0.7868852459016393,0.7868852459016393
Random Forest,1.0,0.7868852459016393
KNN,0.8921161825726142,0.7868852459016393
Naive Bayes,0.8381742738589212,0.7868852459016393
Gradient Boosting,1.0,0.7868852459016393
SVM,0.9128630705394191,0.7704918032786885
Decision Tree,0.7377049180327869,0.7377049180327869
